timestamp,cpu_percent,memory_percent,memory_used_gb,disk_usage_percent,disk_used_gb,is_anomaly
2025-10-05 23:23:37.976893+00:00,30.3,79.3,12.41,40.6,115.06,0
2025-10-05 23:23:44.879658+00:00,28.0,80.3,12.57,40.6,115.06,0
2025-10-05 23:23:51.125112+00:00,19.8,79.2,12.4,40.6,115.06,0
2025-10-05 23:23:58.215016+00:00,32.4,79.4,12.42,40.6,115.06,0
2025-10-05 23:24:05.077095+00:00,28.2,79.3,12.4,40.6,115.06,0
2025-10-05 23:24:11.505738+00:00,27.4,79.5,12.44,40.6,115.06,0
2025-10-05 23:24:18.013957+00:00,23.6,79.5,12.43,40.6,115.06,0
2025-10-05 23:24:24.248216+00:00,23.8,79.4,12.43,40.6,115.06,0
2025-10-05 23:24:30.893257+00:00,33.1,79.9,12.51,40.6,115.06,0
2025-10-05 23:24:37.156791+00:00,35.3,79.1,12.38,40.6,115.06,0
2025-10-05 23:24:43.700538+00:00,33.3,78.8,12.34,40.6,115.06,0
2025-10-05 23:24:49.906516+00:00,25.6,78.7,12.32,40.6,115.06,0
2025-10-05 23:24:56.229703+00:00,20.1,79.4,12.42,40.6,115.06,0
2025-10-05 23:25:02.554551+00:00,26.9,79.3,12.41,40.6,115.06,0
2025-10-05 23:25:09.408781+00:00,31.0,80.0,12.52,40.6,115.06,0
2025-10-05 23:25:15.932508+00:00,31.8,79.0,12.37,40.6,115.06,0
2025-10-05 23:25:22.281697+00:00,24.0,79.2,12.39,40.6,115.06,0
2025-10-05 23:25:28.875739+00:00,31.2,79.2,12.4,40.6,115.06,0
2025-10-05 23:25:34.996374+00:00,32.3,79.4,12.42,40.6,115.06,0
2025-10-05 23:25:41.385728+00:00,24.6,79.5,12.43,40.6,115.06,0
2025-10-05 23:25:47.806830+00:00,33.9,79.0,12.36,40.6,115.06,0
2025-10-05 23:25:54.300329+00:00,25.6,79.1,12.38,40.6,115.06,0
2025-10-05 23:26:00.665481+00:00,23.8,79.0,12.36,40.6,115.06,0
2025-10-05 23:26:07.504758+00:00,34.8,80.1,12.53,40.6,115.06,0
2025-10-05 23:26:13.824654+00:00,23.1,79.4,12.42,40.6,115.06,0
2025-10-05 23:26:20.173759+00:00,36.5,79.3,12.42,40.6,115.06,0
2025-10-05 23:26:26.334974+00:00,21.7,78.8,12.33,40.6,115.06,0
2025-10-05 23:26:32.779188+00:00,38.0,79.0,12.36,40.6,115.06,0
2025-10-05 23:26:39.099301+00:00,23.1,78.8,12.34,40.6,115.06,0
2025-10-05 23:26:45.849853+00:00,35.6,80.0,12.51,40.6,115.06,0
2025-10-05 23:26:52.279607+00:00,23.0,79.3,12.41,40.6,115.06,0
2025-10-05 23:26:59.007043+00:00,32.2,79.4,12.42,40.6,115.06,0
2025-10-05 23:27:05.762287+00:00,25.9,78.9,12.34,40.6,115.06,0
2025-10-05 23:27:12.069752+00:00,22.6,78.7,12.32,40.6,115.06,0
2025-10-05 23:27:18.546465+00:00,19.6,96.23364734709092,18.615000000000002,40.6,115.06,1
2025-10-05 23:27:24.846238+00:00,27.8,79.5,18.66,40.6,115.06,0
2025-10-05 23:27:30.991759+00:00,19.2,79.5,18.66,40.6,115.06,0
2025-10-05 23:27:37.348386+00:00,22.5,78.8,18.495,40.6,115.06,0
2025-10-05 23:27:44.052084+00:00,28.7,79.6,18.674999999999997,40.6,115.06,0
2025-10-05 23:27:50.260335+00:00,37.4,79.3,18.615000000000002,40.6,115.06,0
2025-10-05 23:27:57.063696+00:00,30.4,79.7,12.47,40.6,115.06,0
2025-10-05 23:28:03.356025+00:00,22.4,79.4,12.42,40.6,115.06,0
2025-10-05 23:28:10.090164+00:00,36.6,80.1,12.53,40.6,115.06,0
2025-10-05 23:28:16.829167+00:00,24.5,79.6,12.46,40.6,115.06,0
2025-10-05 23:28:23.452341+00:00,28.4,79.1,12.37,40.6,115.06,0
2025-10-05 23:28:29.855343+00:00,34.2,79.1,12.38,40.6,115.06,0
2025-10-05 23:28:36.204314+00:00,31.0,79.0,12.36,40.6,115.06,0
2025-10-05 23:28:42.565051+00:00,20.3,79.0,12.37,40.6,115.06,0
2025-10-05 23:28:48.865120+00:00,32.0,79.0,12.36,40.6,115.06,0
2025-10-05 23:28:55.642696+00:00,28.9,79.9,12.51,40.6,115.06,0
2025-10-05 23:29:01.875385+00:00,19.5,78.9,12.35,40.6,115.06,0
2025-10-05 23:29:08.486154+00:00,21.2,79.8,12.49,40.6,115.06,0
2025-10-05 23:29:14.580419+00:00,28.5,79.6,12.45,40.6,115.06,0
2025-10-05 23:29:20.755293+00:00,24.2,79.8,12.48,40.6,115.06,0
2025-10-05 23:29:26.825384+00:00,14.7,80.1,12.53,40.6,115.06,0
2025-10-05 23:29:33.827192+00:00,21.8,80.5,12.6,40.6,115.06,0
2025-10-05 23:29:40.035459+00:00,24.6,80.0,12.52,40.6,115.06,0
2025-10-05 23:29:46.559190+00:00,28.2,80.5,12.59,40.6,115.06,0
2025-10-05 23:29:53.088228+00:00,28.9,80.3,12.56,40.6,115.06,0
2025-10-05 23:29:59.522256+00:00,23.4,80.2,12.55,40.6,115.06,0
2025-10-05 23:30:06.041445+00:00,23.7,80.3,12.57,40.6,115.06,0
2025-10-05 23:30:12.695294+00:00,33.4,80.2,12.55,40.6,115.06,0
2025-10-05 23:30:19.096177+00:00,29.8,80.3,12.57,40.6,115.06,0
2025-10-05 23:30:25.514625+00:00,22.8,80.3,12.57,40.6,115.06,0
2025-10-05 23:30:32.322206+00:00,31.6,80.4,12.58,40.6,115.06,0
2025-10-05 23:30:38.603888+00:00,22.7,79.9,12.51,40.6,115.06,0
2025-10-05 23:30:45.227028+00:00,24.0,80.3,12.57,40.6,115.06,0
2025-10-05 23:30:51.341782+00:00,23.9,79.9,12.51,40.6,115.06,0
2025-10-05 23:30:57.948291+00:00,27.7,80.2,12.55,40.6,115.06,0
2025-10-05 23:31:04.124323+00:00,26.4,79.8,12.49,40.6,115.06,0
2025-10-05 23:31:10.224777+00:00,24.5,80.1,12.54,40.6,115.06,0
2025-10-05 23:31:16.404367+00:00,25.4,79.8,12.5,40.6,115.06,0
2025-10-05 23:31:22.752472+00:00,23.1,80.4,12.58,40.6,115.06,0
2025-10-05 23:31:29.208704+00:00,25.2,79.9,12.51,40.6,115.06,0
2025-10-05 23:31:35.789704+00:00,31.2,80.0,12.53,40.6,115.06,0
2025-10-05 23:31:42.008572+00:00,16.2,79.7,12.47,40.6,115.06,0
2025-10-05 23:31:48.362584+00:00,27.7,80.1,12.53,40.6,115.06,0
2025-10-05 23:31:54.567205+00:00,23.0,80.0,12.51,40.6,115.06,0
2025-10-05 23:32:00.883392+00:00,28.9,80.3,12.56,40.6,115.06,0
2025-10-05 23:32:07.237733+00:00,24.9,79.4,12.42,40.6,115.06,0
2025-10-05 23:32:13.632976+00:00,19.0,79.4,12.43,40.6,115.06,0
2025-10-05 23:32:20.004715+00:00,16.9,79.1,12.39,40.6,115.06,0
2025-10-05 23:32:26.243253+00:00,26.2,80.1,12.54,40.6,115.06,0
2025-10-05 23:32:32.738586+00:00,40.4,80.7,12.62,40.6,115.06,0
2025-10-05 23:32:39.004011+00:00,26.2,80.4,12.58,40.6,115.06,0
2025-10-05 23:32:45.323901+00:00,30.7,80.2,12.54,40.6,115.06,0
2025-10-05 23:32:51.769237+00:00,20.0,79.9,12.51,40.6,115.06,0
2025-10-05 23:32:58.425514+00:00,31.8,80.0,12.53,40.6,115.06,0
2025-10-05 23:33:04.691071+00:00,19.9,79.8,12.49,40.6,115.06,0
2025-10-05 23:33:11.010274+00:00,28.4,80.5,12.6,40.6,115.06,0
2025-10-05 23:33:17.185313+00:00,25.8,79.7,12.47,40.6,115.06,0
2025-10-05 23:33:23.563195+00:00,28.7,80.0,12.52,40.6,115.06,0
2025-10-05 23:33:30.141304+00:00,24.4,79.3,12.42,40.6,115.06,0
2025-10-05 23:33:36.468796+00:00,32.5,79.5,12.44,40.6,115.06,0
2025-10-05 23:33:42.937027+00:00,28.5,79.9,12.5,40.6,115.06,0
2025-10-05 23:33:49.261606+00:00,37.0,79.8,12.49,40.6,115.06,0
2025-10-05 23:33:55.561136+00:00,16.8,79.9,12.5,40.6,115.06,0
2025-10-05 23:34:02.172749+00:00,28.7,79.2,12.39,40.6,115.06,0
2025-10-05 23:34:08.354868+00:00,32.2,79.2,12.4,40.6,115.06,0
2025-10-05 23:34:14.715127+00:00,22.2,79.8,12.49,40.6,115.06,0
2025-10-05 23:34:21.259362+00:00,20.7,79.9,12.5,40.6,115.06,0
2025-10-05 23:34:27.350298+00:00,27.0,79.6,12.46,40.6,115.06,0
2025-10-05 23:34:33.650995+00:00,23.9,79.7,12.47,40.6,115.06,0
2025-10-05 23:34:39.779175+00:00,21.8,79.2,12.4,40.6,115.06,0
2025-10-05 23:34:46.362137+00:00,25.7,80.0,12.52,40.6,115.06,0
2025-10-05 23:34:52.701788+00:00,24.7,79.7,12.47,40.6,115.06,0
2025-10-05 23:34:59.121600+00:00,18.2,79.8,12.49,40.6,115.06,0
2025-10-05 23:35:05.302806+00:00,20.5,79.3,12.41,40.6,115.06,0
2025-10-05 23:35:11.641893+00:00,22.8,79.8,12.49,40.6,115.06,0
2025-10-05 23:35:17.861412+00:00,27.4,79.7,12.47,40.6,115.06,0
2025-10-05 23:35:24.355688+00:00,21.5,80.1,12.54,40.6,115.06,0
2025-10-05 23:35:30.626573+00:00,24.9,79.6,12.46,40.6,115.06,0
2025-10-05 23:35:37.175477+00:00,31.8,79.8,12.49,40.6,115.06,0
2025-10-05 23:35:43.371278+00:00,28.4,79.9,12.5,40.6,115.06,0
2025-10-05 23:35:49.742980+00:00,31.8,79.8,12.49,40.6,115.06,0
2025-10-05 23:35:56.176803+00:00,28.6,79.8,12.49,40.6,115.06,0
2025-10-05 23:36:02.636675+00:00,23.3,79.5,12.44,40.6,115.06,0
2025-10-05 23:36:08.689801+00:00,19.7,79.8,12.49,40.6,115.06,0
2025-10-05 23:36:15.164854+00:00,27.6,80.2,12.55,40.6,115.06,0
2025-10-05 23:36:21.300526+00:00,26.7,79.6,12.46,40.6,115.06,0
2025-10-05 23:36:27.389460+00:00,27.6,79.4,12.43,40.6,115.06,0
2025-10-05 23:36:33.799935+00:00,34.8,79.6,12.46,40.6,115.06,0
2025-10-05 23:36:40.125086+00:00,24.9,80.3,12.56,40.6,115.06,0
2025-10-05 23:36:46.673510+00:00,23.1,80.5,12.6,40.6,115.06,0
